BuyTime:2021-10-05 14:24:33, BuyPrice:0.11096000, BuyQuantity:135.20000000, BuyType:LONG entry signal 1, SellTime:2021-10-05 14:29:27, SellPrice:0.11101000, SellQuantity:135.20000000, SellType:LONG exit signal 1, Outcome:0.00676000
BuyTime:2021-10-05 14:31:52, BuyPrice:0.11124000, BuyQuantity:134.70000000, BuyType:LONG entry signal 1, SellTime:2021-10-05 14:48:23, SellPrice:0.11176000, SellQuantity:134.70000000, SellType:LONG exit signal 1, Outcome:0.07004400
BuyTime:2021-10-05 15:07:06, BuyPrice:0.11143000, BuyQuantity:133.90000000, BuyType:LONG entry signal 1, SellTime:2021-10-05 15:25:07, SellPrice:0.11128000, SellQuantity:133.90000000, SellType:LONG exit signal 1, Outcome:-0.02008500
BuyTime:2021-10-05 15:37:08, BuyPrice:0.11173000, BuyQuantity:133.90000000, BuyType:LONG entry signal 1, SellTime:2021-10-05 15:52:24, SellPrice:0.11102000, SellQuantity:133.90000000, SellType:LONG exit signal 1, Outcome:-0.09506900
BuyTime:2021-10-05 16:09:09, BuyPrice:0.11087000, BuyQuantity:133.90000000, BuyType:LONG entry signal 1, SellTime:2021-10-05 16:25:12, SellPrice:0.11074000, SellQuantity:133.90000000, SellType:LONG exit signal 1, Outcome:-0.01740700
BuyTime:2021-10-05 16:37:29, BuyPrice:0.11095000, BuyQuantity:135.00000000, BuyType:LONG entry signal 1, SellTime:2021-10-05 17:06:22, SellPrice:0.11092000, SellQuantity:135.00000000, SellType:LONG exit signal 1, Outcome:-0.00405000
BuyTime:2021-10-05 17:47:07, BuyPrice:0.11075000, BuyQuantity:134.80000000, BuyType:LONG entry signal 1, SellTime:2021-10-05 18:05:14, SellPrice:0.11139000, SellQuantity:134.80000000, SellType:LONG exit signal 1, Outcome:0.08627200
BuyTime:2021-10-05 18:13:38, BuyPrice:0.11175000, BuyQuantity:134.10000000, BuyType:LONG entry signal 1, SellTime:2021-10-05 18:20:18, SellPrice:0.11164000, SellQuantity:134.10000000, SellType:LONG exit signal 1, Outcome:-0.01475100
BuyTime:2021-10-05 18:29:46, BuyPrice:0.11246000, BuyQuantity:133.00000000, BuyType:LONG entry signal 1, SellTime:2021-10-05 18:43:29, SellPrice:0.11201000, SellQuantity:133.00000000, SellType:LONG exit stop-loss, Outcome:-0.05985000
BuyTime:2021-10-05 19:03:09, BuyPrice:0.11184000, BuyQuantity:132.10000000, BuyType:LONG entry signal 1, SellTime:2021-10-05 19:03:47, SellPrice:0.11139000, SellQuantity:132.10000000, SellType:LONG exit stop-loss, Outcome:-0.05944500
BuyTime:2021-10-05 19:04:03, BuyPrice:0.11164000, BuyQuantity:132.10000000, BuyType:LONG entry signal 1, SellTime:2021-10-05 19:45:14, SellPrice:0.11159000, SellQuantity:132.10000000, SellType:LONG exit signal 1, Outcome:-0.00660500
BuyTime:2021-10-05 20:47:49, BuyPrice:0.11162000, BuyQuantity:132.10000000, BuyType:LONG entry signal 1, SellTime:2021-10-05 20:48:48, SellPrice:0.11117000, SellQuantity:132.10000000, SellType:LONG exit stop-loss, Outcome:-0.05944500
